customer_id,name,email,age,country,registration_date,age_group,total_spent,avg_order_value,order_count,last_order_date
1,Customer_1,customer1@example.com,58,USA,2025-10-09 11:49:09.857979,51+,42796.06,8559.212,5.0,2025-10-20 11:49:12.370361
2,Customer_2,customer2@example.com,65,Canada,2025-02-26 11:49:09.857979,51+,66239.33,13247.866,5.0,2025-08-22 11:49:09.978764
3,Customer_3,customer3@example.com,32,UK,2025-07-22 11:49:09.857979,26-35,12280.59,4093.53,3.0,2025-07-22 11:49:11.175173
4,Customer_4,customer4@example.com,61,Australia,2024-04-24 11:49:09.857979,51+,69997.51,8749.68875,8.0,2025-07-15 11:49:13.728578
5,Customer_5,customer5@example.com,23,France,2024-08-28 11:49:09.857979,18-25,26825.37,6706.3425,4.0,2025-11-03 11:49:14.073689
6,Customer_6,customer6@example.com,20,USA,2025-07-31 11:49:09.857979,18-25,59643.17,5422.106363636363,11.0,2025-09-09 11:49:12.809345
7,Customer_7,customer7@example.com,31,UK,2024-06-04 11:49:09.857979,26-35,16467.8,8233.9,2.0,2025-07-31 11:49:13.173280
8,Customer_8,customer8@example.com,56,USA,2024-04-08 11:49:09.857979,51+,121173.81,9321.062307692308,13.0,2025-10-26 11:49:16.489407
9,Customer_9,customer9@example.com,30,Australia,2024-01-08 11:49:09.857979,26-35,23886.47,5971.6175,4.0,2025-02-12 11:49:11.085371
10,Customer_10,customer10@example.com,62,France,2024-08-31 11:49:09.857979,51+,37532.89,9383.2225,4.0,2025-07-14 11:49:16.508405
11,Customer_11,customer11@example.com,32,Germany,2024-03-10 11:49:09.857979,26-35,84639.22,8463.922,10.0,2025-07-31 11:49:16.333205
12,Customer_12,customer12@example.com,35,USA,2025-05-24 11:49:09.857979,26-35,30096.510000000002,10032.17,3.0,2025-07-31 11:49:16.350261
13,Customer_13,customer13@example.com,62,Germany,2024-11-20 11:49:09.857979,51+,57717.32,11543.464,5.0,2025-10-29 11:49:15.054262
14,Customer_14,customer14@example.com,35,UK,2025-03-28 11:49:09.857979,26-35,48430.369999999995,8071.728333333333,6.0,2025-09-19 11:49:16.544416
15,Customer_15,customer15@example.com,79,Canada,2025-07-22 11:49:09.857979,51+,44162.28,8832.456,5.0,2025-10-24 11:49:14.596761
16,Customer_16,customer16@example.com,23,Germany,2025-07-27 11:49:09.857979,18-25,67994.67,6181.333636363636,11.0,2025-10-28 11:49:15.590566
17,Customer_17,customer17@example.com,40,Canada,2024-02-24 11:49:09.857979,36-50,60300.42,8614.345714285713,7.0,2025-09-15 11:49:13.377455
18,Customer_18,customer18@example.com,34,USA,2024-07-21 11:49:09.857979,26-35,63873.54,12774.708,5.0,2025-07-08 11:49:10.409272
19,Customer_19,customer19@example.com,52,USA,2024-10-12 11:49:09.857979,51+,,,,
20,Customer_20,customer20@example.com,23,France,2025-01-07 11:49:09.857979,18-25,39191.27,6531.878333333333,6.0,2025-09-12 11:49:14.311998
21,Customer_21,customer21@example.com,71,Australia,2024-02-09 11:49:09.857979,51+,35494.56,4436.82,8.0,2025-09-02 11:49:11.487375
22,Customer_22,customer22@example.com,74,Canada,2024-03-22 11:49:09.857979,51+,85555.23000000001,14259.205000000002,6.0,2025-10-13 11:49:16.642347
23,Customer_23,customer23@example.com,30,Australia,2025-08-24 11:49:09.857979,26-35,36735.71,9183.9275,4.0,2025-10-15 11:49:10.379245
24,Customer_24,customer24@example.com,20,Australia,2025-03-15 11:49:09.857979,18-25,90451.84,8222.894545454545,11.0,2025-05-26 11:49:12.751608
25,Customer_25,customer25@example.com,67,Canada,2025-08-14 11:49:09.857979,51+,38399.28,7679.856,5.0,2025-07-03 11:49:09.991806
