customer_id,name,email,age,country,registration_date
1,Customer_1,customer1@example.com,58,USA,2025-10-09 11:49:09.857979
2,Customer_2,customer2@example.com,65,Canada,2025-02-26 11:49:09.857979
3,Customer_3,customer3@example.com,32,UK,2025-07-22 11:49:09.857979
4,Customer_4,customer4@example.com,61,Australia,2024-04-24 11:49:09.857979
5,Customer_5,customer5@example.com,23,France,2024-08-28 11:49:09.857979
6,Customer_6,customer6@example.com,20,USA,2025-07-31 11:49:09.857979
7,Customer_7,customer7@example.com,31,UK,2024-06-04 11:49:09.857979
8,Customer_8,customer8@example.com,56,USA,2024-04-08 11:49:09.857979
9,Customer_9,customer9@example.com,30,Australia,2024-01-08 11:49:09.857979
10,Customer_10,customer10@example.com,62,France,2024-08-31 11:49:09.857979
11,Customer_11,customer11@example.com,32,Germany,2024-03-10 11:49:09.857979
12,Customer_12,customer12@example.com,35,USA,2025-05-24 11:49:09.857979
13,Customer_13,customer13@example.com,62,Germany,2024-11-20 11:49:09.857979
14,Customer_14,customer14@example.com,35,UK,2025-03-28 11:49:09.857979
15,Customer_15,customer15@example.com,79,Canada,2025-07-22 11:49:09.857979
16,Customer_16,customer16@example.com,23,Germany,2025-07-27 11:49:09.857979
17,Customer_17,customer17@example.com,40,Canada,2024-02-24 11:49:09.857979
18,Customer_18,customer18@example.com,34,USA,2024-07-21 11:49:09.857979
19,Customer_19,customer19@example.com,52,USA,2024-10-12 11:49:09.857979
20,Customer_20,customer20@example.com,23,France,2025-01-07 11:49:09.857979
21,Customer_21,customer21@example.com,71,Australia,2024-02-09 11:49:09.857979
22,Customer_22,customer22@example.com,74,Canada,2024-03-22 11:49:09.857979
23,Customer_23,customer23@example.com,30,Australia,2025-08-24 11:49:09.857979
24,Customer_24,customer24@example.com,20,Australia,2025-03-15 11:49:09.857979
25,Customer_25,customer25@example.com,67,Canada,2025-08-14 11:49:09.857979
26,Customer_26,customer26@example.com,72,UK,2025-07-23 11:49:09.857979
27,Customer_27,customer27@example.com,42,Canada,2024-07-27 11:49:09.857979
28,Customer_28,customer28@example.com,58,Canada,2025-05-21 11:49:09.857979
29,Customer_29,customer29@example.com,41,Canada,2025-04-03 11:49:09.857979
30,Customer_30,customer30@example.com,60,Canada,2023-11-16 11:49:09.857979
31,Customer_31,customer31@example.com,77,Australia,2024-01-10 11:49:09.857979
32,Customer_32,customer32@example.com,22,France,2024-01-23 11:49:09.857979
33,Customer_33,customer33@example.com,28,France,2025-02-26 11:49:09.857979
34,Customer_34,customer34@example.com,28,Germany,2024-10-11 11:49:09.857979
35,Customer_35,customer35@example.com,35,Australia,2023-11-30 11:49:09.857979
36,Customer_36,customer36@example.com,53,UK,2023-12-03 11:49:09.857979
37,Customer_37,customer37@example.com,38,USA,2025-03-14 11:49:09.857979
38,Customer_38,customer38@example.com,70,USA,2024-12-15 11:49:09.857979
39,Customer_39,customer39@example.com,43,Canada,2025-08-28 11:49:09.857979
40,Customer_40,customer40@example.com,31,France,2024-12-16 11:49:09.857979
41,Customer_41,customer41@example.com,31,Australia,2024-06-10 11:49:09.857979
42,Customer_42,customer42@example.com,43,Australia,2024-07-22 11:49:09.857979
43,Customer_43,customer43@example.com,27,Canada,2025-06-14 11:49:09.857979
44,Customer_44,customer44@example.com,33,Australia,2024-04-08 11:49:09.857979
45,Customer_45,customer45@example.com,52,Canada,2024-03-15 11:49:09.857979
46,Customer_46,customer46@example.com,45,France,2024-09-21 11:49:09.857979
47,Customer_47,customer47@example.com,41,UK,2025-06-15 11:49:09.857979
48,Customer_48,customer48@example.com,50,Germany,2025-08-02 11:49:09.857979
49,Customer_49,customer49@example.com,66,USA,2025-07-14 11:49:09.857979
50,Customer_50,customer50@example.com,27,Australia,2025-05-24 11:49:09.857979
51,Customer_51,customer51@example.com,68,Australia,2024-08-28 11:49:09.857979
52,Customer_52,customer52@example.com,56,USA,2024-10-05 11:49:09.857979
53,Customer_53,customer53@example.com,42,France,2024-07-12 11:49:09.857979
54,Customer_54,customer54@example.com,51,Canada,2024-04-16 11:49:09.857979
55,Customer_55,customer55@example.com,73,USA,2023-12-08 11:49:09.857979
56,Customer_56,customer56@example.com,64,USA,2023-12-06 11:49:09.857979
57,Customer_57,customer57@example.com,74,France,2025-02-03 11:49:09.857979
58,Customer_58,customer58@example.com,67,Australia,2024-11-20 11:49:09.857979
59,Customer_59,customer59@example.com,25,Canada,2024-08-15 11:49:09.857979
60,Customer_60,customer60@example.com,28,Germany,2025-10-31 11:49:09.857979
61,Customer_61,customer61@example.com,79,Australia,2025-02-07 11:49:09.857979
62,Customer_62,customer62@example.com,80,France,2025-05-05 11:49:09.857979
63,Customer_63,customer63@example.com,50,USA,2024-02-02 11:49:09.857979
64,Customer_64,customer64@example.com,37,Australia,2024-06-02 11:49:09.857979
65,Customer_65,customer65@example.com,56,UK,2025-05-31 11:49:09.857979
66,Customer_66,customer66@example.com,41,UK,2024-04-30 11:49:09.857979
67,Customer_67,customer67@example.com,79,France,2025-11-03 11:49:09.857979
68,Customer_68,customer68@example.com,56,Canada,2024-06-21 11:49:09.857979
69,Customer_69,customer69@example.com,19,USA,2024-10-28 11:49:09.857979
70,Customer_70,customer70@example.com,74,Canada,2025-03-03 11:49:09.857979
71,Customer_71,customer71@example.com,21,UK,2024-04-02 11:49:09.857979
72,Customer_72,customer72@example.com,78,USA,2025-08-08 11:49:09.857979
73,Customer_73,customer73@example.com,64,Germany,2025-08-25 11:49:09.857979
74,Customer_74,customer74@example.com,80,France,2025-06-28 11:49:09.857979
75,Customer_75,customer75@example.com,26,Australia,2024-07-05 11:49:09.857979
76,Customer_76,customer76@example.com,78,France,2025-05-18 11:49:09.857979
77,Customer_77,customer77@example.com,34,France,2024-02-21 11:49:09.857979
78,Customer_78,customer78@example.com,45,UK,2024-04-30 11:49:09.857979
79,Customer_79,customer79@example.com,66,Australia,2023-11-28 11:49:09.857979
80,Customer_80,customer80@example.com,30,Australia,2024-12-19 11:49:09.857979
81,Customer_81,customer81@example.com,43,Australia,2024-01-08 11:49:09.857979
82,Customer_82,customer82@example.com,41,Germany,2024-05-23 11:49:09.857979
83,Customer_83,customer83@example.com,46,USA,2025-02-23 11:49:09.857979
84,Customer_84,customer84@example.com,32,USA,2024-11-22 11:49:09.857979
85,Customer_85,customer85@example.com,19,France,2024-04-15 11:49:09.857979
86,Customer_86,customer86@example.com,32,France,2025-03-23 11:49:09.857979
87,Customer_87,customer87@example.com,18,USA,2023-11-10 11:49:09.857979
88,Customer_88,customer88@example.com,58,USA,2025-03-14 11:49:09.857979
89,Customer_89,customer89@example.com,22,USA,2024-11-30 11:49:09.857979
90,Customer_90,customer90@example.com,22,France,2025-03-05 11:49:09.857979
91,Customer_91,customer91@example.com,35,Australia,2024-06-24 11:49:09.857979
92,Customer_92,customer92@example.com,31,France,2025-06-21 11:49:09.857979
93,Customer_93,customer93@example.com,64,France,2024-03-23 11:49:09.857979
94,Customer_94,customer94@example.com,48,UK,2024-07-07 11:49:09.857979
95,Customer_95,customer95@example.com,69,Germany,2025-04-23 11:49:09.857979
96,Customer_96,customer96@example.com,24,USA,2023-12-30 11:49:09.857979
97,Customer_97,customer97@example.com,45,Canada,2024-08-27 11:49:09.857979
98,Customer_98,customer98@example.com,44,Germany,2025-09-09 11:49:09.857979
99,Customer_99,customer99@example.com,61,Australia,2024-01-12 11:49:09.857979
100,Customer_100,customer100@example.com,24,USA,2024-09-17 11:49:09.857979
101,Customer_101,customer101@example.com,64,Canada,2025-07-15 11:49:09.857979
102,Customer_102,customer102@example.com,33,UK,2025-04-23 11:49:09.857979
103,Customer_103,customer103@example.com,52,Germany,2025-06-13 11:49:09.857979
104,Customer_104,customer104@example.com,45,UK,2025-01-22 11:49:09.857979
105,Customer_105,customer105@example.com,47,UK,2025-08-18 11:49:09.857979
106,Customer_106,customer106@example.com,46,France,2025-07-26 11:49:09.857979
107,Customer_107,customer107@example.com,21,Australia,2024-04-29 11:49:09.857979
108,Customer_108,customer108@example.com,71,USA,2025-07-31 11:49:09.857979
109,Customer_109,customer109@example.com,77,UK,2025-05-17 11:49:09.857979
110,Customer_110,customer110@example.com,44,Germany,2024-06-29 11:49:09.857979
111,Customer_111,customer111@example.com,31,Germany,2025-09-04 11:49:09.857979
112,Customer_112,customer112@example.com,28,Germany,2025-11-01 11:49:09.857979
113,Customer_113,customer113@example.com,42,Canada,2024-07-26 11:49:09.857979
114,Customer_114,customer114@example.com,36,Germany,2023-11-21 11:49:09.857979
115,Customer_115,customer115@example.com,79,Australia,2024-04-13 11:49:09.857979
116,Customer_116,customer116@example.com,60,Australia,2024-06-23 11:49:09.857979
117,Customer_117,customer117@example.com,27,UK,2025-01-04 11:49:09.857979
118,Customer_118,customer118@example.com,31,USA,2024-03-20 11:49:09.857979
119,Customer_119,customer119@example.com,65,France,2025-09-02 11:49:09.857979
120,Customer_120,customer120@example.com,65,Canada,2025-09-06 11:49:09.857979
121,Customer_121,customer121@example.com,21,France,2024-07-03 11:49:09.857979
122,Customer_122,customer122@example.com,50,France,2025-05-26 11:49:09.857979
123,Customer_123,customer123@example.com,21,France,2025-08-13 11:49:09.857979
124,Customer_124,customer124@example.com,72,UK,2025-08-25 11:49:09.857979
125,Customer_125,customer125@example.com,56,USA,2023-12-13 11:49:09.857979
126,Customer_126,customer126@example.com,73,UK,2024-09-16 11:49:09.857979
127,Customer_127,customer127@example.com,25,France,2025-02-24 11:49:09.857979
128,Customer_128,customer128@example.com,55,France,2025-09-24 11:49:09.857979
129,Customer_129,customer129@example.com,57,USA,2024-08-31 11:49:09.857979
